ID,is_speedup_func,Symbol,FunctionPC,Function Definition Length,CPU0.call_count,CPU0.self_exec_inst_count
106,0,"stbi__readval",0x13b38",0x148",0,0
107,0,"stbi__refill_buffer",0x1035c",0x74",0,0
108,0,"stbi__resample_row_generic",0x1098c",0x1ac",0,0
109,0,"stbi__resample_row_h_2",0x11408",0xe0",0,0
110,0,"stbi__resample_row_hv_2",0x108cc",0xc0",0,0
111,0,"stbi__resample_row_v_2",0x1088c",0x40",0,0
112,0,"stbi__skip.part.0",0x113cc",0x3c",0,0
113,0,"stbi__stdio_eof",0x10e30",0x48",0,0
114,0,"realloc",0x274dc",0x14",0,0
115,0,"stbi__stdio_skip",0x10e78",0x4c",0,0
116,0,"stbi__vertical_flip",0x11184",0x100",0,0
117,0,"stbi__YCbCr_to_RGB_row",0x10b38",0x148",0,0
118,0,"stbi__zbuild_huffman",0x11c78",0x54c",0,0
119,0,"strcmp",0x2801c",0x17c",0,0
120,0,"strcpy",0x2eb4c",0xb0",0,0
121,0,"strlen",0x28198",0x8c",0,0
122,0,"strncpy",0x2ebfc",0xac",0,0
123,0,"strtol",0x28494",0x18",0,0
124,0,"_strtol_l.constprop.0",0x28224",0x270",0,0
125,0,"__subdf3",0x358d4",0x854",0,0
126,0,"__submore",0x28538",0xcc",0,0
127,0,"__subsf3",0x39edc",0x4bc",0,0
128,0,"__subtf3",0x37a18",0x14f4",0,0
129,0,"_svfprintf_r",0x2eca8",0x288c",0,0
130,0,"feof",0x2522c",0x60",0,0
131,0,"__fixdfsi",0x3c064",0x80",0,0
132,0,"fiprintf",0x32b24",0x4c",0,0
133,0,"finitef",0x2eac0",0x14",0,0
134,0,"finite",0x3c040",0x18",0,0
135,0,"fgetc",0x25614",0x8c",0,0
136,0,"_fflush_r",0x25538",0x60",0,0
137,0,"fflush",0x25598",0x7c",0,0
138,0,"ferror",0x2528c",0x60",0,0
139,0,"__fixsfsi",0x3a398",0x70",0,0
140,0,"_fclose_r",0x25110",0x110",0,0
141,0,"fclose",0x25220",0xc",0,0
142,0,"fabsf",0x3c058",0xc",0,0
143,0,"__extenddftf2",0x3a57c",0x208",0,0
144,0,"exp",0x3abfc",0xc0",0,0
145,0,"_exit",0x332a0",0x24",0,0
146,0,"eshup1",0x2ba28",0x54",0,0
147,0,"eshift.part.0",0x2bd7c",0x1bc",0,0
148,0,"__fixtfsi",0x38f0c",0xf4",0,0
149,0,"__fixunssfsi",0x3a408",0x60",0,0
150,0,"__floatsidf",0x36128",0xa8",0,0
151,0,"__floatsisf",0x3a468",0x114",0,0
152,0,"__floatsitf",0x39000",0x154",0,0
153,0,"__floatunsidf",0x361d0",0x80",0,0
154,0,"fopen",0x25a8c",0x14",0,0
155,0,"_fopen_r",0x25974",0x118",0,0
156,0,"__fputwc",0x32b70",0xf4",0,0
157,0,"_fputwc_r",0x32c64",0x2c",0,0
158,0,"fread",0x25d04",0x1c",0,0
159,0,"_fread_r",0x25aa0",0x264",0,0
160,0,"free",0x26930",0xc",0,0
161,0,"_free_r",0x25e5c",0x304",0,0
162,0,"frexp",0x2ea18",0xa8",0,0
163,0,"__divdf3",0x3482c",0x7cc",0,0
164,0,"__adddf3",0x34040",0x7ec",0,0
165,0,"__addsf3",0x39154",0x470",0,0
166,0,"__ascii_mbtowc",0x32c9c",0x68",0,0
167,0,"__ascii_wctomb",0x330b8",0x30",0,0
168,0,"__assert_func",0x32ad0",0x54",0,0
169,0,"atexit",0x2b2fc",0x14",0,0
170,0,"_Balloc",0x2e8e4",0xa8",0,0
